Priority,Area,Action,Current State,Target / Fix,Why it matters,Impact,Effort,File / Location,Status
1,Site architecture,Prune the doorway page farm,"850+ indexable pages (92 cities x 8 services = 736 near-identical combo pages) on a domain with ~7 visits/mo; Semrush only crawled 100 of them",noindex or remove the 736 combo pages + long-tail cities; keep ~15 real target cities,"Thin duplicate pages dilute topical authority and burn crawl budget on a low-authority domain (Semrush rank 8.8M) - this is the single biggest reason page-2 keywords never break top 10",HIGH,MED,"app/spotless/services/[slug]/[city]/page.tsx, app/spotless/sitemap.ts, add robots gating",Not started
2,Content depth,Rewrite the winning city pages as unique deep content,"Area pages are ~85-90% identical token-swap templates; only 1-2 unique sentences per city",800-1200 words of genuinely unique local copy per target city (neighborhoods, local pricing, real testimonials, landmarks),"Silver Lake (#14), Downey (#15), Long Beach (#38) already rank on page 2 - unique depth is what pushes them into top 10",HIGH,HIGH,"app/spotless/areas/[city]/page.tsx (lines ~145-166), getLocalIntro in lib/marketing/spotless-areas.ts",Not started
3,Internal linking,Fix Nearby Cities to real geographic adjacency,"Every page links the same first 6 array entries (LA, Santa Monica, Beverly Hills...) as 'nearby' - Downey links to Santa Monica, not Norwalk/Whittier",Compute true adjacency; add in-body contextual links; link money city pages from the homepage,"Passes real local relevance signal and funnels root-domain backlink equity (216 backlinks / 121 domains mostly hit root) to the ranking pages",HIGH,MED,"app/spotless/areas/[city]/page.tsx (nearbyCities.slice(0,6), ~line 46)",Not started
4,Local signals,Add real NAP + Google Business Profile embed,"Footer shows 'Serving LA County' with no street address; LocalBusiness schema ships no streetAddress; no embedded map",Add consistent street address + postal code + embedded GBP map in footer and schema,"GBP proximity/prominence is usually what separates #12 from #6 on local cleaning terms; missing NAP caps local ranking",HIGH,MED,"components/marketing/site-footer.tsx, components/marketing/json-ld.tsx, SPOTLESS_BUSINESS.address",Not started
5,Local pack,Connect Google Business Profile API (unblock GBP),"GBP_ACCOUNT_ID and GBP_LOCATION_ID empty; Business Profile API access pending Google approval; auto-post feature never wired",Confirm Google API approval, fill the 2 IDs, wire the weekly Google Post script,"GBP posts + reviews drive the local pack, the highest-converting local surface",HIGH,MED,"spotless-content-machine: .env, scripts/gbp-oauth.ts, scripts/gbp-sync.ts",Blocked on Google approval
6,Technical,Add robots.txt for the domain,"middleware rewrites /robots.txt to /spotless/robots.txt but no app/spotless/robots.ts exists - domain serves no robots.txt, sitemap undiscoverable",Create app/spotless/robots.ts declaring the sitemap,Lets crawlers find the sitemap without manual GSC submission,MED,LOW,app/spotless/robots.ts (create),Not started
7,Page speed,Turn on image optimization,"next.config.mjs sets images.unoptimized=true; every page uses raw <img> (no next/image anywhere)",Remove unoptimized flag; convert to next/image or pre-compress to WebP; add srcset,Fixes LCP and clears Site-Audit warnings; page speed is a ranking input,MED,MED,"next.config.mjs, all app/spotless/**/*.tsx <img> tags",Not started
8,On-page,Keyword the homepage H1,"Homepage H1 is 'Book a Cleaning in 60 Seconds' - strongest page targets zero keywords",Change to 'House Cleaning in Los Angeles County' (or primary target),The highest-authority page on the site should target the primary head term,MED,LOW,app/spotless/page.tsx (~line 243),Not started
9,Trust/schema,Substantiate AggregateRating,"Schema hardcodes rating 5.0 / reviewCount 29 on every page with no visible reviews on-page",Wire real review markup to the rating, or reduce to pages with genuine reviews,Google may discount or flag unsubstantiated aggregate ratings,MED,MED,"components/marketing/json-ld.tsx (~lines 42-48)",Not started
10,AI search,Improve AI/LLM visibility,"AI visibility near-zero: 1 mention (ChatGPT only), 0 in Gemini / AI Overviews / AI Mode",Strengthen FAQ schema + genuinely useful local content; the depth work in #2 feeds this,AI search is a growing discovery channel; near-zero today,MED,MED,"components/marketing/json-ld.tsx (FAQPage), city page content",Not started
11,Hygiene,Fix stale on-page facts,"Service pages say 'and 13 more cities' (92 exist); sitemap comment says '20 cities / 120 combos' (really 92/736)",Update copy + comments to reflect real counts (or moot after pruning in #1),Consistency + credibility; low effort,LOW,LOW,"app/spotless/services/[slug]/page.tsx (~line 55), app/spotless/sitemap.ts (~lines 94/102)",Not started
KEYWORD,Tracking,house cleaning silver lake,Position 14 (page 2),Top 10,Area page already ranks - target for depth + internal links (#2/#3),HIGH,-,app/spotless/areas/silver-lake,Tracking
KEYWORD,Tracking,cleaning services downey,Position 15 (page 2),Top 10,Area page already ranks - primary consolidation target,HIGH,-,app/spotless/areas/downey,Tracking
KEYWORD,Tracking,house cleaning services downey ca,Position 15 (page 2),Top 10,Same page as above - long-tail variant,HIGH,-,app/spotless/areas/downey,Tracking
KEYWORD,Tracking,cleaners in downey,Position 24 (page 3),Top 10,Downey cluster - lift with the same page work,MED,-,app/spotless/areas/downey,Tracking
KEYWORD,Tracking,home cleaning long beach,Position 38 (page 4),Top 20 then top 10,Needs depth + links to climb,MED,-,app/spotless/areas/long-beach,Tracking
KEYWORD,Tracking,cleaning long beach ca,Position 48 (page 5),Top 20,Long Beach cluster - furthest back,LOW,-,app/spotless/areas/long-beach,Tracking
